result,url_length,url_has_http//,url_has_https//,url_contains_num,url_num_dots,url_num_slashes,number_of_dash,has_at_symbol,has_tilde_symbol,number_of_underscore,number_of_numpercent,number_of_ampersand,number_of_hash,url_contains_ip
1,36,0,1,0,2,5,0,0,0,0,0,0,0,0
1,50,0,1,0,2,5,0,0,0,0,0,0,0,0
1,56,0,1,0,2,6,1,0,0,0,0,0,0,0
1,51,0,1,0,2,5,0,0,0,0,0,0,0,0
1,22,0,1,1,1,2,0,0,0,0,0,0,0,0
1,40,0,1,0,3,3,0,0,0,0,0,0,0,0
1,30,0,1,1,1,3,0,0,0,0,0,0,0,0
1,24,0,1,1,3,3,0,0,0,0,0,0,0,0
1,39,0,1,1,1,3,0,0,0,0,0,0,0,0
1,239,0,1,1,6,9,17,0,0,5,0,0,1,0
1,148,0,1,1,5,7,7,0,0,1,0,0,1,0
1,149,0,1,1,5,7,7,0,0,1,0,0,1,0
1,175,0,1,1,2,7,1,0,0,2,0,2,0,0
1,28,0,1,0,2,3,0,0,0,0,0,0,0,0
1,36,0,1,1,1,3,0,0,0,0,0,0,0,0
1,27,1,0,0,2,3,0,0,0,0,0,0,0,0
1,101,0,1,1,3,4,2,0,0,1,0,0,0,0
1,105,0,1,1,2,4,0,0,0,0,0,0,0,0
1,151,0,1,1,5,7,9,0,0,1,0,0,1,0
1,243,0,1,1,6,9,17,0,0,5,0,0,1,0
1,31,0,1,0,2,2,0,0,0,0,0,0,0,0
1,26,0,1,0,1,3,0,0,0,0,0,0,0,0
1,45,0,1,1,6,3,0,0,0,0,0,0,0,1
1,263,0,1,1,7,10,9,0,0,5,0,1,0,0
1,143,0,1,1,5,7,7,0,0,1,0,0,1,0
1,265,0,1,1,7,10,9,0,0,5,0,1,0,0
1,22,0,1,0,1,3,0,0,0,0,0,0,0,0
1,64,0,1,1,3,3,6,0,0,0,0,0,0,0
1,221,0,1,1,6,7,8,0,0,1,4,0,0,0
1,239,0,1,1,6,9,18,0,0,4,0,0,1,0
1,48,0,1,0,2,4,1,0,0,0,0,0,0,0
1,48,0,1,0,1,4,1,0,0,0,0,0,0,0
1,175,0,1,1,2,7,4,0,0,2,0,2,0,0
1,19,1,0,0,1,2,1,0,0,0,0,0,0,0
1,199,1,0,1,2,7,0,0,0,0,0,0,0,0
1,18,1,0,0,1,2,1,0,0,0,0,0,0,0
1,242,0,1,1,6,9,18,0,0,4,0,0,1,0
1,225,0,1,1,6,9,16,0,0,4,0,0,0,0
1,33,0,1,0,2,3,0,0,0,0,0,0,0,0
1,248,0,1,1,6,9,18,0,0,5,0,0,1,0
1,255,0,1,1,6,9,16,0,0,6,0,0,1,0
1,247,0,1,1,2,4,4,0,0,0,0,8,0,0
1,29,0,1,1,1,3,0,0,0,0,0,0,0,0
1,200,0,1,1,3,7,3,0,0,3,0,4,0,0
1,35,0,1,1,2,3,1,0,0,0,0,0,0,0
1,175,0,1,1,2,7,3,0,0,5,0,2,0,0
1,38,0,1,1,2,3,1,0,0,0,0,0,0,0
1,32,0,1,0,1,4,3,0,0,0,0,0,0,0
1,167,0,1,1,2,7,1,0,0,3,0,2,0,0
1,184,0,1,1,3,7,3,0,0,3,0,4,0,0
1,41,0,1,1,2,3,2,0,0,0,0,0,0,0
1,46,0,1,0,1,4,3,0,0,0,0,0,0,0
1,38,0,1,0,2,3,1,0,0,0,0,0,0,0
1,175,0,1,1,2,7,1,0,0,3,0,2,0,0
1,70,0,1,1,3,3,5,0,0,0,0,0,0,0
1,36,0,1,0,2,3,1,0,0,0,0,0,0,0
1,175,0,1,1,2,7,2,0,0,2,0,2,0,0
1,40,0,1,1,2,3,0,0,0,0,0,0,0,0
1,34,0,1,0,2,3,0,0,0,0,0,0,0,0
